id,event_name,localtion,date,price,description,quota,time,user_id
1,Schematics Reeva,Keputih Gg 3F no 32 Sukolilo Surabaya,2023-06-06,1200000,"Schematics adalah acara konser musik yang diadakan oleh departemen teknik informatika. Konser ini mengundang artis terkenal Indonesia untuk tampil di panggung. Penonton akan menikmati penampilan live yang mengagumkan dari artis-artis tersebut, sambil merasakan semangat dan kegembiraan dalam musik. Schematics menjadi wadah bagi para pecinta musik dan penggemar artis untuk berkumpul dan menikmati pengalaman musik yang tak terlupakan.",3000,12:00,1
2,Summer Sounds Festival,"Gelora Bung Karno, Jakarta",2023-06-07,1500000,"Summer Sounds Festival adalah festival musik tahunan yang menampilkan berbagai genre musik populer. Acara ini menyajikan penampilan dari sejumlah band dan artis terkenal, baik dari Indonesia maupun luar negeri. Festival ini memberikan kesempatan bagi penonton untuk mengeksplorasi berbagai aliran musik dan menikmati pertunjukan live yang berkualitas. Dengan suasana yang meriah dan penuh energi, Summer Sounds Festival menjadi tempat berkumpulnya pecinta musik dari berbagai kalangan.",10000,13:00,1
3,Indonesian Pop Sensations,"Lapangan D Senayan, Jakarta",2023-06-08,500000,"Indonesian Pop Sensations adalah konser yang menghadirkan beberapa penyanyi pop sensasional Indonesia dalam satu panggung. Acara ini memberikan kesempatan bagi penonton untuk menikmati musik pop yang catchy dan melihat penampilan mengesankan dari para penyanyi terkenal. Dengan energi yang tinggi dan panggung yang spektakuler, Indonesian Pop Sensations akan memanjakan penggemar musik pop dengan pengalaman konser yang tak terlupakan.",8000,14:00,1
4,Jazz in the Park,"Taman Bungkul, Surabaya",2023-06-09,300000,"Jazz in the Park adalah konser jazz outdoor yang menghadirkan berbagai jenis musik jazz dari artis lokal dan internasional. Acara ini diadakan di tengah-tengah taman yang hijau, menciptakan suasana yang santai dan alami. Penonton akan merasakan harmoni musik jazz yang mengalun dengan indah, sambil menikmati suasana yang menenangkan dan menyegarkan. Jazz in the Park adalah ajang yang sempurna bagi pecinta musik jazz untuk mengeksplorasi dan menikmati keindahan musik jazz.",3000,15:00,1
5,Indonesian Jazz Night,"Balai Sudirman, Bandung",2023-06-10,650000,"Indonesian Jazz Night adalah konser yang menampilkan sejumlah musisi jazz terkenal Indonesia. Dalam suasana yang penuh kehangatan, penonton akan merasakan keindahan musik jazz dan improvisasi yang memukau dari para musisi. Konser ini menjadi ajang yang tepat bagi pecinta musik jazz untuk mendalami genre ini dan menikmati penampilan live dari para musisi berbakat. Indonesian Jazz Night menciptakan atmosfer yang akrab dan menghadirkan pengalaman musik yang istimewa bagi para penontonnya.",6000,16:00,1
6,Indie Showcase,Gedung Kesenian Yogyakarta,2023-06-11,300000,"Indie Showcase adalah konser yang menampilkan berbagai band indie lokal yang sedang naik daun. Acara ini memberikan kesempatan bagi band-band indie untuk tampil di panggung besar dan menunjukkan bakat mereka. Penonton akan merasakan energi yang segar dan autentik dari musik indie, serta menyaksikan pertumbuhan para musisi muda yang berbakat. Indie Showcase menjadi wadah yang sempurna untuk mengapresiasi kreativitas dan keberagaman musik indie di Indonesia.",2500,17:00,1
7,Rhythm Nation Dance Party,"Ecovention Ancol, Jakarta",2023-06-12,650000,Rhythm Nation Dance Party adalah acara tari yang menghadirkan musik dansa terbaru dan penampilan tari yang spektakuler. Acara ini dirancang untuk para penari dan pecinta musik dansa. Penonton akan terbawa dalam suasana pesta dansa yang penuh semangat dan ritme yang menggelegar. Rhythm Nation Dance Party menghadirkan pengalaman seru dan menghibur bagi para penggemar tari dengan kombinasi musik yang enerjik dan gerakan tari yang mengagumkan.,5000,18:00,1
8,Superstar Extravaganza,"ICE BSD, Tangerang",2023-06-13,500000,"Superstar Extravaganza adalah konser spektakuler yang menampilkan sejumlah penyanyi terkenal Indonesia. Penonton akan dimanjakan dengan penampilan live dari artis-artis papan atas dalam satu panggung. Konser ini memancarkan kemewahan dan kegemilangan musik populer dengan produksi panggung yang megah dan penampilan yang memukau. Superstar Extravaganza menjadi pengalaman konser yang tak terlupakan bagi penggemar musik, dengan kombinasi suara yang luar biasa dan visual yang mengesankan.",6000,19:00,1
9,Classical Symphony Night,Gedung Kesenian Jakarta,2023-06-14,500000,Classical Symphony Night adalah konser orkestra yang mempersembahkan karya-karya musik klasik terkenal dari berbagai komponis terkenal. Acara ini menghadirkan pengalaman musik yang elegan dan memukau. Penonton akan terhanyut dalam melodi yang indah dan harmoni yang menggugah perasaan. Classical Symphony Night menjadi tempat bagi pecinta musik klasik untuk merasakan keajaiban musik orkestra dengan penampilan para musisi yang terampil dan penuh gairah.,4000,20:00,1
10,Reggae Vibes Festival,"Pantai Parangtritis, Yogyakarta",2023-06-15,1000000,"Reggae Vibes Festival adalah festival musik reggae yang menampilkan band reggae terkenal dari Indonesia dan luar negeri. Acara ini memberikan suasana santai dan getaran positif melalui musik reggae. Penonton akan merasakan kehangatan budaya Jamaika dan pesan-pesan cinta dan perdamaian yang diusung dalam musik reggae. Reggae Vibes Festival menjadi tempat untuk berdansa, bersantai, dan menikmati irama reggae yang menghentak. Festival ini memperkuat ikatan komunitas pecinta musik reggae dan menciptakan suasana yang penuh kegembiraan dan persatuan.",5000,21:00,1
11,Pop Legends Live,"Istora Senayan, Jakarta",2023-06-16,450000,"Pop Legends Live adalah konser yang menampilkan para legenda musik pop dari berbagai generasi. Para penonton akan merasakan nostalgia dan menyaksikan penampilan ikonik dari artis-artis terkenal. Dalam suasana yang penuh kegembiraan, konser ini akan membawa kembali kenangan indah dan lagu-lagu hit yang menjadi bagian dari sejarah musik pop.",10000,22:00,1
12,Hip-Hop Nation,"Lapangan Puputan, Denpasar",2023-06-17,300000,Hip-Hop Nation adalah konser yang menampilkan para artis hip-hop terbaik dari dalam dan luar negeri. Acara ini akan mempertontonkan rap yang penuh energi dan ritme yang menghentak. Penonton akan terhanyut dalam kebudayaan hip-hop yang penuh semangat dan pesan yang kuat. Hip-Hop Nation menjadi ajang bagi para pecinta hip-hop untuk merayakan kebebasan berekspresi melalui musik dan mengapresiasi keahlian para rapper dan produser musik.,6000,23:00,1
13,Acoustic Serenade,"Taman Suropati, Jakarta",2023-06-18,450000,"Acoustic Serenade adalah konser akustik yang menampilkan artis-artis terkenal dengan pertunjukan yang intim dan hangat. Nikmati kesederhanaan musik akustik di tengah taman yang indah. Dengan nuansa yang santai, konser ini memungkinkan para penonton untuk terhubung secara emosional dengan lagu-lagu dan cerita yang dibawakan oleh para musisi. Acoustic Serenade menjadi momen yang khusus dan romantis bagi para penggemar musik akustik.",7000,0:00,1
14,R&B Groove Night,"Tennis Indoor Senayan, Jakarta",2023-06-19,500000,"R&B Groove Night adalah konser musik R&B yang akan memikat penonton dengan vokal yang menggoda dan irama yang menghentak. Hadirkan semangat R&B ke dalam malam Anda. Konser ini menampilkan kombinasi harmoni vokal yang memukau dan ritme yang menghipnotis, menciptakan atmosfer yang sensual dan menggoda. R&B Groove Night menjadi panggung bagi para penyanyi R&B untuk mengekspresikan bakat mereka dan menyapa penonton dengan pesona musik R&B.",5000,1:00,1
15,Indonesian Folk Festival,"Taman Budaya Surakarta, Solo",2023-06-20,650000,"Indonesian Folk Festival adalah festival musik folk yang menghadirkan para musisi folk terbaik dari seluruh Indonesia. Merasakan keindahan dan kekayaan musik tradisional dalam suasana yang akrab dan hangat. Festival ini menjadi ajang untuk menjaga dan memperkenalkan warisan budaya musik tradisional Indonesia kepada penonton. Dalam suasana yang penuh kebersamaan, Indonesian Folk Festival mengajak semua orang untuk menikmati musik yang autentik dan mendalam, sekaligus merayakan keanekaragaman dan keindahan musik folk Indonesia.",3500,2:00,1
16,Indonesian Divas Night,"Plenary Hall, Jakarta Convention Center",2023-06-21,500000,"Indonesian Divas Night adalah konser yang menghadirkan sejumlah diva penyanyi Indonesia. Acara ini akan memukau penonton dengan vokal yang luar biasa dan penampilan panggung yang megah. Para diva akan memancarkan kekuatan dan karisma mereka, menghadirkan penampilan yang memukau dan memikat hati penonton. Indonesian Divas Night menjadi panggung bagi para penyanyi berbakat untuk menunjukkan kemampuan vokal mereka dan menghidupkan lagu-lagu populer dengan interpretasi yang mengesankan. ",4000,3:00,1
17,Soulful Serenade,"Auditorium Universitas Gadjah Mada, Yogyakarta",2023-06-22,350000,"Soulful Serenade adalah konser musik soul yang menghadirkan vokal yang penuh emosi dan musik yang mengalun dengan hati. Acara ini mempersembahkan harmoni suara dan kehangatan musik soul, mengajak penonton untuk merenung dan merasakan setiap lirik dan melodi dengan intensitas yang mendalam. Soulful Serenade menghadirkan atmosfer yang intim dan penuh kehangatan, menggugah perasaan dan membangkitkan semangat dalam musik soul yang mempesona.",2000,4:00,1
18,Pop Icons Concert,"Grand City Convention and Exhibition Center, Surabaya",2023-06-23,300000,"Pop Icons Concert adalah konser yang menggabungkan beberapa ikon musik pop Indonesia dalam satu panggung. Penonton akan menikmati penampilan yang fenomenal dari penyanyi-penyanyi terkenal, membangkitkan nostalgia dan kesenangan dalam lagu-lagu populer yang menjadi bagian dari perjalanan musik Indonesia. Konser ini menyajikan produksi panggung yang spektakuler dan energi yang tak terbendung, menciptakan pengalaman yang tak terlupakan bagi para penggemar musik pop.",3000,5:00,1
